Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB
1627V,0,0,0,0,0,0,0
0821T,0,0,0,0,0,0,0
2088W,0,0,0,0,0,0,0
1742V,0,0,1,0,0,0,0
0790K,0,0,0,0,0,0,0
2441E,0,0,0,0,0,0,0
1342K,0,0,0,0,0,0,0
0082Q,0,0,0,0,0,0,0
1594J,0,0,0,0,0,0,0
0937V,0,0,0,0,0,0,0
0874B,0,0,0,0,0,0,0
0296Y,0,0,0,0,0,0,0
0328H,0,0,0,0,0,0,0
2340V,0,0,0,0,0,0,0
0584L,0,0,0,0,0,0,0
2309L,0,0,0,0,0,0,0
0060R,0,0,0,0,0,0,0
2317V,0,0,0,0,0,0,0
2266P,0,0,0,0,0,0,0
1256R,0,0,0,0,0,0,0
2175Q,0,0,0,0,0,0,0
0506B,0,0,0,0,0,0,0
0228Z,0,0,0,0,0,0,0
2520Q,0,0,0,0,0,0,0
0630L,0,0,0,0,0,0,0
0194M,0,0,0,0,0,0,0
0693E,0,0,0,0,0,0,0
1565C,0,0,0,0,0,0,0
1176E,0,0,0,0,0,0,0
1805N,0,0,0,0,0,0,0
1545F,0,0,0,0,0,0,0
1017G,0,0,0,0,0,0,0
0042X,0,0,0,0,0,0,0
2257E,0,0,0,0,0,0,0
1871K,0,0,0,0,0,0,0
0032L,1,0,0,0,0,0,0
0401M,0,0,0,0,0,0,0
0645C,0,0,0,0,0,0,0
2279D,0,0,0,0,0,0,0
0873A,0,0,0,0,0,0,0
0813K,0,0,0,0,0,0,0
2050E,0,0,0,0,0,0,0
0384T,0,0,0,0,0,0,0
0772Q,0,0,0,0,0,0,0
1868G,1,1,1,0,0,0,1
1864C,0,0,0,0,0,0,0
1186Q,1,0,0,0,0,0,0
2145H,1,0,0,0,0,0,0
0397H,1,0,1,0,0,0,0
0887Q,1,0,0,0,0,0,0
2035N,1,1,1,0,1,0,1
0049E,1,1,1,0,0,0,1
1047P,0,0,0,0,0,0,0
1451D,0,0,0,0,0,0,0
2365X,0,0,0,0,0,0,0
0754W,1,0,0,0,0,1,0
2142E,0,0,0,0,0,0,0
0987Z,0,0,0,0,0,0,0
1457K,1,0,1,0,1,0,1
2567R,1,0,1,0,1,0,1
1353X,1,0,0,0,1,0,1
0370D,0,1,1,0,0,0,1
2208B,0,1,1,0,0,0,1
2071C,0,1,1,0,0,0,1
0517N,0,1,1,0,1,1,1
0190H,0,1,1,0,1,1,1
2084R,0,0,1,0,0,0,0
0906L,1,0,1,0,1,0,1
0926H,1,0,1,0,1,0,1
0416D,1,0,1,0,0,0,1
2318W,0,0,0,0,0,0,0
1361F,0,0,0,0,0,0,0
1653Y,0,0,0,0,0,0,0
0317W,1,0,0,0,0,0,0
2513H,0,0,0,0,0,0,0
0878F,0,0,0,0,0,0,0
0776V,0,0,0,0,0,0,0
0133W,0,0,0,0,0,0,0
1136L,0,0,0,0,0,0,0
0428R,1,0,0,0,0,0,0
1325R,0,0,0,0,0,0,0
0366Z,0,0,0,0,0,0,0
1518B,0,0,0,0,0,0,0
1623Q,0,0,0,0,0,0,0
